name,cheese,entree,dessert,alcohol,colour,clarity,body,palate_carbonation,finish,hop,malt,glass,temperature,country
American Amber Ale,Medium Cheddar,Barbecue,Banana Pound Cake,Mild to Noticeable,Copper to Reddish Brown,Clear to Slight Haze,Mouth-Coating,Medium to High,Short to Medium,Citrus-like character is acceptable,Caramel,Tulip,45-55°F,United States
American Pale Ale,Mild or Medium Cheddar,Roasted or Grilled Meats,Apple Pie,Not Detectable to Mild,Deep Golden to Copper or Light Brown,Clear to Slight Haze,Soft,Medium to High,Short to Medium,"Hop aroma and flavor are medium to medium-high, exhibiting fruity, floral, and","Biscuit, Bready, Caramel",Tulip,45-55°F,United States
English-Style Bitter,Firm English Cheeses,Chips,Oatmeal Raisin Walnut Cookies,Not Detectable to Mild,Gold to Copper,Clear to Brilliant,Drying to Soft,Low,Short,Hop aroma may be evident at the brewer's discretion,Low to medium residual malt sweetness is present,Nonic Pint,50-55°F,United Kingdom
Blonde Ale,Pepper Jack,Meatballs,Sugar Cookies,Not Detectable to Mild,Straw to Light Amber,Brilliant to Slight Haze,Soft,Medium to High,Short,"Hop aroma is low to medium-low, present but not dominant. Hop bitterness is","Light malt sweetness is present in the flavor. Bread, toast, biscuit and wheat",Tulip,45-50°F,United States
English-Style Pale Ale (ESB),English-Style Cheeses,Chips,Maple Bread Pudding,Mild,Gold to Copper,Clear to Brilliant,Moderate,Low,Short,Hop flavor is medium to medium-high. Hop bitterness is medium to medium-,Residual malt and defining sweetness is medium to medium-high,Nonic Pint,50-55°F,United Kingdom
American Amber Lager,White Cheddar,Vegetables,Fruit Desserts,Mild to Noticeable,Gold to Copper,Clear to Slight Haze,Soft,Medium to High,Short to Medium,Hop flavor and aroma are very low to medium-high. Hop bitterness is very low,Low to medium-low caramel-type or toasted malt aromas are often present,Tulip,45-50°F,United States
German-Style Dunkel,Washed-Rind Munster,Sausages,Candied Ginger Beer Cake,Mild to Noticeable,Light Brown to Dark Brown,Clear to Slight Haze,Mouth-Coating,Medium,Medium,Hop aroma and flavor are not perceived. Hop bitterness is low,"Malt aroma is low to medium, with chocolate-like, roasted malt, bread-like or",Vase,45-50°F,Germany
German-Style Märzen/Oktoberfest,Jalapeno Jack,Kielbasa,Coconut Flan,Mild,Pale to Reddish Brown,Brilliant,Soft,Medium,Short to Medium,Hop aroma and flavor are very low to low. Hop bitterness is medium low to,Toast,Flute,45-50°F,Germany
German-Style Schwarzbier,Munster-Style Cheese,Mushroom Strudel,Fruit Tart,Not Detectable to Mild,Very Dark Brown to Black,Clear,Soft,Medium to High,Medium,"Hop aroma and flavor are very low to low, deriving from noble-type hops. Hop","Reminiscent of bitter chocolate or coffee. Malt sweetness is low to medium, and",Flute,45-50°F,Germany
Vienna-Style Lager,Mild Cheeses,Vegetables,Almond Biscotti,Mild,Copper to Reddish Brown,Brilliant to Clear,Soft,Medium,Short to Medium,"Hop aroma, flavor and bitterness are very low to low",Aroma should have a notable degree of toasted and/or slightly roasted malt,Flute,45-50°F,Germany
American Brown Ale,Aged Gouda,Vegetables,Pear Fritters,Mild to Noticeable,Deep Copper to Very Dark Brown,Clear,Varies,Medium to High,Medium,Hop aroma and flavor are low to medium. Hop bitterness is medium to high,"Caramel, Chocolate, Toast",Nonic Pint,50-55°F,United States
English-Style Brown Ale,Aged Gouda,"Steak, Nuts",Pear Fritters,Not Detectable to Mild,Copper to Very Dark,Clear,Soft,Low to Medium,Short to Medium,Hop aroma and flavor is very low. Hop bitterness is very low to low,"Balance ranges from dry to sweet maltiness. Roast malt tones of toffee, nuts and",Nonic Pint,50-55°F,United Kingdom
English-Style Mild,Mild Cheddar,Mushrooms,Dark Fruit Tart,Not Detectable,Reddish Brown to Very Dark,Clear to Slight Haze,Soft to Mouth-Coating,Low to Medium,Short to Medium,Hop flavor is low to very low,"Caramel, Chocolate, Coffee, Licorice, Raisin, Molasses. Malt flavors dominate",Nonic Pint,50-55°F,United Kingdom
American IPA,Blue Cheeses,Spicy Tuna Roll,Persimmon Rice Pudding,Mild to Noticeable,"Gold to Copper, Red/Brown",Clear to Slight Haze,Soft to Sticky,Medium to High,Medium to Long,Hop aroma is high and hop flavor is strong both with floral qualities and citrus-,"Biscuit, Bready, Caramel",Tulip,50-55°F,United States
English-Style IPA,Aged Cheddar,Fettuccine Alfredo,Ginger Spice Cake,Not Detectable to Noticeable,Gold to Copper,Clear to Slight Haze,Moderate,Medium to High,Short to Medium,"Hop aroma is medium to high, often flowery. Hop flavor and bitterness are","Bready, Biscuit, Toast, Caramel, Toffee",Nonic Pint,45-50°F,United Kingdom
Imperial IPA,Rich Cheeses,"Bone-In Pork Chops, Miso Salmon",Carrot Cake,Mild to Noticeable,"Gold to Copper, Red/Brown",Clear to Slight Haze,Soft to Sticky,Medium to High,Medium to Long,Hop aroma is high and hop flavor is strong both with floral qualities and citrus-,"Biscuit, Bready, Caramel",Tulip,50-55°F,United States
American-Style Wheat Wine Ale,Asiago,Smoked Trout,Peach Sorbet,Noticeable to Harsh,Gold to Light Brown,Slight Haze,Mouth-Coating,Low to Medium,Medium,Hop aroma and flavor are low to medium. Hop bitterness is medium to,"Bready, wheat, honey-like and/or caramel malt aromas are often present",Snifter,50-55°F,United States
American Wheat,Chèvre,Seafood,Fruit Desserts,Not Detectable to Mild,is pale to light amber. This beer can be made using either ale or lager yeast. Generally brewed with at least 30 percent malted,Brilliant to Slight Haze,Varies,Medium to High,Varies,"Hop aroma, flavor and bitterness are low to medium",Grainy Wheat,Flute,40-45°F,United States
Belgian-Style Witbier,Mascarpone,Moules and Frites,Panna Cotta,Not Detectable to Mild,Straw to Pale,Hazy,Drying,High,Medium,"Hop flavor and aroma are not perceived to low. Hop bitterness is low, achieved",Malt aroma and flavor are very low to low,Tulip,40-45°F,Belgium
Berliner-Style Weisse,Havarti,Aged Ham on Pretzel Bread,Cheesecake with Raspberries,Not Detectable to Mild,Straw to Pale,Clear to Hazy,Drying,Low to Medium,Short to Medium,Hop aroma and flavor are not perceived. Hop bitterness is not perceived to very,Not Perceived,Goblet,45-50°F,Germany
German-Style Dunkelweizen,Gouda,Roasted Chicken,Banana Cream Pie,Not Detectable to Mild,Copper-Brown to Very Dark,Slight Haze to Hazy,Moderate to Mouth-Coating,Low to Medium,Short to Medium,Hop aroma and flavor are not perceived. Hop bitterness is low,"Bready or grainy, with a distinct sweet maltiness and a chocolate-like character",Vase,45-50°F,Germany
German-Style Hefeweizen,Chèvre,Seafood,Key Lime Pie,Mild,Straw to Amber,Hazy,Mouth-Coating,High,Short,Hop flavor is not perceived to very low. Hop bitterness is very low,Malt sweetness is very low to medium-low,Vase,40-45°F,Germany
American Barley Wine,Strong Blue Cheeses,Beef Cheek,Rich Desserts,Noticeable to Hot,Amber to Deep Red or Copper-Garnet,Clear to Brilliant,Mouth-Coating to Sticky,Low to Medium,Medium to Long,Hop aroma and flavor are medium to very high. Hop bitterness is high.,"Caramel, Toffee, Bready, Sweet",Snifter,50-55°F,United States
American Imperial Red Ale,Mozzarella,Corned Beef Hash,Toffee Pudding,Mild to Noticeable,Deep Amber to Dark Copper or Reddish Brown,Slight Haze to Clear. Unfiltered versions: Hazy to Very Cloudy,Mouth-Coating,Medium,Medium to Long,"Hop aroma, flavor and bitterness are high but balanced, arising from any variety",Medium to high caramel malt character is present,Tulip,50-55°F,United States
British-Style Barley Wine Ale,English Stilton,Moroccan Duck,Dark Chocolate,Noticeable to Hot,Tawny Copper to Deep Red or Copper-Garnet,Brilliant to Slight Haze,Mouth-Coating,Low to Medium,Varies,Hop flavor and aroma are very low to medium. Hop bitterness is low to,"Nutty, Caramel, Biscuit",Snifter,50-55°F,United Kingdom
English-Style Old Ale,Double Gloucester,Roast Beef,Spiced Plum Walnut Tart,Noticeable to Hot,Copper-Red to Very Dark,Opaque,Moderate to Mouth-Coating,Low to Medium,Long,Hop aroma and flavor are not perceived to medium. Hop bitterness is minimal,A malty and sometimes caramel-like sweetness may be evident.,Snifter,40-45°F,United Kingdom
Belgian-Style Blonde Ale,Brie,Sweet and Sour Chicken,Angel Food Cake,Mild to Noticeable,Pale to Light Amber,Clear to Brilliant,Soft to Moderate,Medium to High,Short,Hop flavor and aroma are not perceived to low. Hop bitterness is very low to low,Malt aroma and flavor are low,Tulip,45-50°F,Belgium
Belgian-Style Dubbel,Washed-Rind Cheeses,Apple-Smoked Sausage,Milk Chocolate,Mild to Noticeable,Brown to Very Dark,Clear to Slight Haze,Mouth-Coating,Medium to High,Medium,Hop aroma and flavor are not perceived to low. Hop bitterness is medium-low,"Chocolate, Caramel, Toast",Tulip,50-55°F,Belgium
Belgian-Style Golden Strong Ale,Triple Creme,Beer Battered Fried Shrimp,Baklava,Mild,Pale to Copper,Clear,Soft,Medium to High,Short to Medium,Hop aroma and flavor are medium-low to medium-high. Hop bitterness is,"These beers can be malty in overall impression, or dry and highly attenuated",Tulip,40-45°F,Belgium
Belgian-Style Pale Ale,Taleggio,Tempura Fried Fish,Savory Bread Pudding,Not Detectable to Mild,Gold to Copper,Clear,Moderate,Medium,Short to Medium,Hop aroma and flavor are low but noticeable; noble-type hops are commonly,"Caramel, Toast",Tulip,40-50°F,Belgium
Belgian-Style Quadrupel,Aged Gouda,Roasted Duck,Bread Pudding,Noticeable to Hot,Amber to Dark Brown,Slight Haze,Mouth-Coating,Medium,Medium to Long,Hop aroma and flavor are not perceived to very low. Hop bitterness is low to,"Caramel, dark sugar and malty sweet flavors and aromas can be intense, not",Tulip,50-55°F,Belgium
Belgian-Style Saison,Brie,Seafood (Mussels),Lemon Ginger Sorbet,Mild to Noticeable,Pale to Light Brown,Slight Haze,Soft,High,Short to Medium,Hop aroma is low to medium. Hop bitterness is medium to medium-high,Malt flavor is low but provides foundation for the overall balance,Tulip,45-55°F,Belgium
Belgian-Style Tripel,Triple Creme,Roasted Turkey,Caramelized Banana Creme Brulee,Mild,Pale to Light Amber,Clear,Soft to Mouth-Coating,High,Short to Medium,Hop aroma and flavor are not perceived to low. Hop bitterness is medium to,Low sweetness from very pale malts is present,Tulip,40-45°F,Belgium
American Cream Ale,Monterey Jack,Salads,Lemon Custard Tart,Not Detectable to Mild,Straw to Gold,Brilliant,Soft,High,Short,"Hop aroma is usually absent, and hop flavor is very low to low. Hop bitterness is",Grainy,Flute,40-45°F,United States
French-Style Biére de Garde,Soft Ripened Cheeses,Roasted Lamb with Mint,Pecan Pie,Mild to Noticeable,Light Amber to Chestnut Brown or Red,Clear to Slight Haze,Soft to Mouth-Coating,High,Short to Medium,"Hop aroma and flavor are low to medium, from noble-type hops. Hop bitterness","Toast, Caramel, Toffee",Tulip,45-55°F,France
